Overs Remaining,0,1,2,3,4,5,6,7,8,9
16.83,87.51666666666667,85.05,81.5,75.88333333333334,68.56666666666666,62.96666666666666,49.666666666666664,35.46666666666667,20.933333333333334,8.3
16.67,86.83333333333333,84.4,80.89999999999999,75.36666666666667,68.13333333333334,62.63333333333333,49.43333333333333,35.333333333333336,20.866666666666667,8.3
16.5,86.15,83.75,80.3,74.85,67.7,62.3,49.2,35.2,20.8,8.3
16.33,85.46666666666667,83.1,79.7,74.33333333333333,67.26666666666667,61.96666666666666,48.96666666666667,35.06666666666666,20.733333333333334,8.3
16.17,84.78333333333333,82.45,79.1,73.81666666666666,66.83333333333334,61.63333333333333,48.733333333333334,34.93333333333333,20.666666666666668,8.3
16.0,84.1,81.8,78.5,73.3,66.4,61.3,48.5,34.8,20.6,8.3
15.83,83.39999999999999,81.15,77.88333333333333,72.75,65.93333333333334,60.949999999999996,48.25,34.65,20.533333333333335,8.3
15.67,82.7,80.5,77.26666666666667,72.2,65.46666666666667,60.6,48.0,34.5,20.46666666666667,8.3
15.5,82.0,79.85,76.65,71.65,65.0,60.25,47.75,34.349999999999994,20.4,8.3
15.33,81.3,79.2,76.03333333333333,71.1,64.53333333333333,59.9,47.5,34.199999999999996,20.333333333333332,8.3
15.17,80.60000000000001,78.55000000000001,75.41666666666666,70.55,64.06666666666666,59.550000000000004,47.25,34.05,20.266666666666666,8.3
15.0,79.9,77.9,74.8,70.0,63.6,59.2,47.0,33.9,20.2,8.3
14.83,79.15,77.2,74.15,69.43333333333334,63.11666666666667,58.81666666666667,46.733333333333334,33.733333333333334,20.133333333333333,8.3
14.67,78.4,76.5,73.5,68.86666666666666,62.63333333333333,58.43333333333334,46.46666666666667,33.56666666666666,20.066666666666666,8.3
14.5,77.65,75.80000000000001,72.85,68.3,62.150000000000006,58.05,46.2,33.4,20.0,8.3
14.33,76.9,75.10000000000001,72.2,67.73333333333333,61.66666666666667,57.666666666666664,45.93333333333333,33.233333333333334,19.933333333333334,8.3
14.17,76.15,74.4,71.55000000000001,67.16666666666666,61.18333333333334,57.28333333333333,45.666666666666664,33.06666666666666,19.866666666666667,8.3
14.0,75.4,73.7,70.9,66.6,60.7,56.9,45.4,32.9,19.8,8.3
13.83,74.66666666666667,72.98333333333333,70.23333333333333,66.0,60.18333333333334,56.483333333333334,45.1,32.71666666666667,19.71666666666667,8.3
13.67,73.93333333333334,72.26666666666667,69.56666666666668,65.39999999999999,59.66666666666667,56.06666666666666,44.8,32.53333333333333,19.633333333333333,8.3
13.5,73.2,71.55000000000001,68.9,64.8,59.150000000000006,55.65,44.5,32.35,19.55,8.3
13.33,72.46666666666667,70.83333333333334,68.23333333333333,64.2,58.63333333333333,55.233333333333334,44.2,32.166666666666664,19.46666666666667,8.3
13.17,71.73333333333333,70.11666666666667,67.56666666666668,63.6,58.11666666666667,54.81666666666666,43.9,31.983333333333334,19.383333333333333,8.3
13.0,71.0,69.4,66.9,63.0,57.6,54.4,43.6,31.8,19.3,8.3
