Balls Bowled,Wickets Lost: 0,Wickets Lost: 1,Wickets Lost: 2,Wickets Lost: 3,Wickets Lost: 4,Wickets Lost: 5,Wickets Lost: 6,Wickets Lost: 7,Wickets Lost: 8,Wickets Lost: 9
19,85.82807922363281,85.82807922363281,85.82807922363281,85.82807922363281,84.16399383544922,79.30261993408203,74.85729217529297,70.10765075683594,59.1728515625,48.044010162353516
20,84.85362243652344,84.85362243652344,84.85362243652344,84.85362243652344,83.81291961669922,78.57786560058594,73.76371002197266,68.24958038330078,60.39863204956055,48.816654205322266
21,83.95006561279297,83.95006561279297,83.95006561279297,83.95006561279297,83.5431900024414,77.95362854003906,72.79084014892578,66.82206726074219,61.37621307373047,49.69561004638672
22,83.13687896728516,83.13687896728516,83.13687896728516,83.13687896728516,83.13687896728516,77.4197769165039,71.92508697509766,65.53445434570312,59.64579391479492,50.68458938598633
23,82.31729888916016,82.31729888916016,82.31729888916016,82.31729888916016,82.31729888916016,76.96756744384766,71.15689086914062,64.37334442138672,58.15180969238281,52.10758590698242
24,81.45977783203125,81.45977783203125,81.45977783203125,81.45977783203125,81.45977783203125,76.5895004272461,70.47767639160156,63.32712173461914,57.008216857910156,52.89176940917969
25,80.57310485839844,80.57310485839844,80.57310485839844,80.57310485839844,80.57310485839844,76.27902221679688,69.87955474853516,62.3857421875,55.986961364746094,51.49153518676758
26,79.64334106445312,79.64334106445312,79.64334106445312,79.64334106445312,79.64334106445312,75.9990234375,69.3536376953125,61.540313720703125,55.04712677001953,50.25701141357422
27,78.7140884399414,78.7140884399414,78.7140884399414,78.7140884399414,78.7140884399414,75.71102142333984,68.79666137695312,60.691959381103516,54.11836624145508,49.24935531616211
28,77.78482818603516,77.78482818603516,77.78482818603516,77.78482818603516,77.78482818603516,75.47655487060547,68.30393981933594,59.8953857421875,53.32664489746094,48.515933990478516
29,76.92308044433594,76.92308044433594,76.92308044433594,76.92308044433594,76.92308044433594,75.29158782958984,67.87064361572266,59.34599685668945,52.738887786865234,47.86576461791992
30,76.06300354003906,76.06300354003906,76.06300354003906,76.06300354003906,76.06300354003906,75.06512451171875,67.57878875732422,58.96478271484375,52.20794677734375,47.26836013793945
31,75.2029037475586,75.2029037475586,75.2029037475586,75.2029037475586,75.2029037475586,74.32032775878906,67.47616577148438,58.64499282836914,51.72979736328125,46.720027923583984
32,74.40397644042969,74.40397644042969,74.40397644042969,74.40397644042969,74.40397644042969,73.30490112304688,67.41761016845703,58.382423400878906,51.30088806152344,46.217437744140625
33,73.61336517333984,73.61336517333984,73.61336517333984,73.61336517333984,73.61336517333984,72.38265228271484,67.4002456665039,58.173370361328125,50.91798400878906,45.757598876953125
34,72.82286071777344,72.82286071777344,72.82286071777344,72.82286071777344,72.82286071777344,71.5063247680664,67.42145538330078,58.01441955566406,50.60432815551758,45.33780288696289
35,72.03245544433594,72.03245544433594,72.03245544433594,72.03245544433594,72.03245544433594,70.6795654296875,67.47882080078125,57.902488708496094,50.336181640625,44.955589294433594
36,71.23783111572266,71.23783111572266,71.23783111572266,71.23783111572266,71.23783111572266,69.87986755371094,67.57020568847656,57.834781646728516,50.10087203979492,44.60871124267578
37,70.42755889892578,70.42755889892578,70.42755889892578,70.42755889892578,70.42755889892578,69.10560607910156,67.55998992919922,57.80870819091797,49.901939392089844,44.295108795166016
38,69.61729431152344,69.61729431152344,69.61729431152344,69.61729431152344,69.61729431152344,68.35649108886719,66.74018096923828,57.821922302246094,49.733036041259766,44.01445007324219
39,68.8070297241211,68.8070297241211,68.8070297241211,68.8070297241211,68.8070297241211,67.6545181274414,65.78921508789062,57.87228012084961,49.59231185913086,43.764408111572266
40,67.99497985839844,67.99497985839844,67.99497985839844,67.99497985839844,67.99497985839844,67.02345275878906,64.79141235351562,57.95778274536133,49.478271484375,43.54237747192383
41,67.15421295166016,67.15421295166016,67.15421295166016,67.15421295166016,67.15421295166016,66.37124633789062,63.81477355957031,58.07661819458008,49.389522552490234,43.3469123840332
42,66.41947174072266,66.41947174072266,66.41947174072266,66.41947174072266,66.41947174072266,65.65296173095703,62.8598747253418,58.2270622253418,49.324771881103516,43.17665100097656
43,65.70698547363281,65.70698547363281,65.70698547363281,65.70698547363281,65.70698547363281,64.99079132080078,61.84077072143555,58.40756607055664,49.282833099365234,43.02992630004883
44,64.99449920654297,64.99449920654297,64.99449920654297,64.99449920654297,64.99449920654297,64.34950256347656,60.78059768676758,58.499088287353516,49.26259231567383,42.905826568603516
45,64.28194427490234,64.28194427490234,64.28194427490234,64.28194427490234,64.28194427490234,63.728065490722656,59.73067092895508,57.304351806640625,49.26304244995117,42.803443908691406
46,63.56936264038086,63.56936264038086,63.56936264038086,63.56936264038086,63.56936264038086,63.10232925415039,58.639957427978516,56.12310791015625,49.28322219848633,42.72175979614258
47,62.856788635253906,62.856788635253906,62.856788635253906,62.856788635253906,62.856788635253906,62.380638122558594,57.558837890625,54.99912643432617,49.28274917602539,42.65985107421875
48,62.14421081542969,62.14421081542969,62.14421081542969,62.14421081542969,62.14421081542969,61.482154846191406,56.53877639770508,53.879722595214844,49.2177619934082,42.616844177246094
49,61.42050552368164,61.42050552368164,61.42050552368164,61.42050552368164,61.42050552368164,60.596839904785156,55.48910903930664,52.77800750732422,49.17058181762695,42.60911178588867
50,60.69181823730469,60.69181823730469,60.69181823730469,60.69181823730469,60.69181823730469,59.72413635253906,54.44392395019531,51.619380950927734,49.14126968383789,42.62006378173828
51,59.9631233215332,59.9631233215332,59.9631233215332,59.9631233215332,59.9631233215332,58.86348342895508,53.41414260864258,50.37949752807617,48.90997314453125,42.53925323486328
52,59.23442459106445,59.23442459106445,59.23442459106445,59.23442459106445,59.23442459106445,58.02849578857422,52.399810791015625,49.13911437988281,47.88103485107422,42.45775604248047
53,58.484683990478516,58.484683990478516,58.484683990478516,58.484683990478516,58.484683990478516,57.20512771606445,51.401756286621094,47.9166374206543,46.49829864501953,42.39028549194336
54,57.7255744934082,57.7255744934082,57.7255744934082,57.7255744934082,57.7255744934082,56.3945426940918,50.41727066040039,46.71089172363281,45.12623977661133,42.33628845214844
55,56.966453552246094,56.966453552246094,56.966453552246094,56.966453552246094,56.966453552246094,55.59418869018555,49.44579315185547,45.52125930786133,43.78484344482422,42.29526138305664
56,56.208457946777344,56.208457946777344,56.208457946777344,56.208457946777344,56.208457946777344,54.829071044921875,48.56586837768555,44.34709548950195,42.354984283447266,42.22378921508789
57,55.4530143737793,55.4530143737793,55.4530143737793,55.4530143737793,55.4530143737793,54.0863037109375,47.7376708984375,43.18778610229492,40.900638580322266,40.900638580322266
58,54.69755935668945,54.69755935668945,54.69755935668945,54.69755935668945,54.69755935668945,53.38018798828125,46.98419952392578,42.042789459228516,39.45699691772461,39.45699691772461
59,53.94211196899414,53.94211196899414,53.94211196899414,53.94211196899414,53.94211196899414,52.782814025878906,46.2955436706543,40.91159439086914,38.0236701965332,38.0236701965332
60,53.18667221069336,53.18667221069336,53.18667221069336,53.18667221069336,53.18667221069336,52.193748474121094,45.65053176879883,39.79366683959961,36.60028076171875,36.60028076171875
61,52.43121337890625,52.43121337890625,52.43121337890625,52.43121337890625,52.43121337890625,51.64715576171875,45.04716491699219,38.68855667114258,35.20415496826172,35.20415496826172
62,51.6757698059082,51.6757698059082,51.6757698059082,51.6757698059082,51.6757698059082,51.1157112121582,44.50735092163086,37.59579086303711,33.841495513916016,33.841495513916016
63,50.920318603515625,50.920318603515625,50.920318603515625,50.920318603515625,50.920318603515625,50.59171676635742,44.023094177246094,36.51498031616211,32.488773345947266,32.488773345947266
64,50.16487121582031,50.16487121582031,50.16487121582031,50.16487121582031,50.16487121582031,50.07488250732422,43.62913513183594,35.4456901550293,31.20753288269043,31.20753288269043
65,49.409423828125,49.409423828125,49.409423828125,49.409423828125,49.409423828125,49.409423828125,43.30482864379883,34.44898986816406,29.966670989990234,29.966670989990234
66,48.65397644042969,48.65397644042969,48.65397644042969,48.65397644042969,48.65397644042969,48.65397644042969,42.991539001464844,33.46426010131836,28.74350357055664,28.74350357055664
67,47.89313888549805,47.89313888549805,47.89313888549805,47.89313888549805,47.89313888549805,47.89313888549805,42.718563079833984,32.4904670715332,27.572580337524414,27.572580337524414
