Balls Bowled,0,1,2,3,4,5,6,7,8,9
79,38.180817344152814,38.180817344152814,38.180817344152814,38.180817344152814,38.180817344152814,38.180817344152814,35.31228165442826,23.97641191050501,19.897102328428588,19.897102328428588
80,37.98519623408585,37.98519623408585,37.98519623408585,37.98519623408585,37.98519623408585,37.98519623408585,35.05601303654963,25.06972487838561,18.59695346295056,18.59695346295056
81,36.54984037681837,36.54984037681837,36.54984037681837,36.54984037681837,36.54984037681837,36.54984037681837,34.9145797910122,24.400417367122447,19.98759034816996,14.18683485277448
82,35.38927844994822,35.38927844994822,35.38927844994822,35.38927844994822,35.38927844994822,35.38927844994822,33.3513863251681,27.922539204362,16.540673682800126,14.18683485277448
83,34.62162660711517,34.62162660711517,34.62162660711517,34.62162660711517,34.62162660711517,34.62162660711517,32.95098778045031,28.13088978841573,16.705249579522523,12.081571694879742
84,34.07656167430326,34.07656167430326,34.07656167430326,34.07656167430326,34.07656167430326,34.07656167430326,33.259228033424606,27.03667359320961,16.33163669495485,7.628496029201401
85,33.02321634310633,33.02321634310633,33.02321634310633,33.02321634310633,33.02321634310633,33.02321634310633,32.77962957278764,27.06731317506069,17.25420542058473,6.3406172413226125
86,31.99075702062853,31.99075702062853,31.99075702062853,31.99075702062853,31.99075702062853,31.99075702062853,31.99075702062853,26.881459205084635,15.298919177459595,8.458294283036551
87,30.59709632817088,30.59709632817088,30.59709632817088,30.59709632817088,30.59709632817088,30.59709632817088,30.59709632817088,25.989654305909816,17.158968058991842,9.27509760112198
88,29.66743736338519,29.66743736338519,29.66743736338519,29.66743736338519,29.66743736338519,29.66743736338519,29.66743736338519,25.906781674913663,16.569246519904,9.27509760112198
89,28.58425609026885,28.58425609026885,28.58425609026885,28.58425609026885,28.58425609026885,28.58425609026885,28.58425609026885,24.251939196417545,18.12572668226536,7.48046510822874
90,27.69169370783585,27.69169370783585,27.69169370783585,27.69169370783585,27.69169370783585,27.69169370783585,27.69169370783585,24.66923609621193,16.253466293619216,12.689480231036969
91,26.158620248899595,26.158620248899595,26.158620248899595,26.158620248899595,26.158620248899595,26.158620248899595,26.158620248899595,26.158620248899595,16.377454225238587,10.001733901212528
92,26.31027889422895,26.31027889422895,26.31027889422895,26.31027889422895,26.31027889422895,26.31027889422895,26.31027889422895,24.318049898525107,17.7446227328511,11.67090215488321
93,25.131344056228503,25.131344056228503,25.131344056228503,25.131344056228503,25.131344056228503,25.131344056228503,25.131344056228503,23.715329296050573,18.287261417565784,12.68773454651116
94,24.18567125660411,24.18567125660411,24.18567125660411,24.18567125660411,24.18567125660411,24.18567125660411,24.18567125660411,23.89800506431856,17.67963930296322,12.991757352912575
95,23.006903718934485,23.006903718934485,23.006903718934485,23.006903718934485,23.006903718934485,23.006903718934485,23.006903718934485,23.006903718934485,17.906238555362705,11.914306494602796
96,22.6182219936191,22.6182219936191,22.6182219936191,22.6182219936191,22.6182219936191,22.6182219936191,22.6182219936191,22.6182219936191,16.45381844995204,13.20760245683157
97,21.085725023605765,21.085725023605765,21.085725023605765,21.085725023605765,21.085725023605765,21.085725023605765,21.085725023605765,21.085725023605765,15.603945326836795,15.086216705440346
98,20.909440239347447,20.909440239347447,20.909440239347447,20.909440239347447,20.909440239347447,20.909440239347447,20.909440239347447,20.909440239347447,14.688088128029392,14.688088128029392
99,20.401325846870403,20.401325846870403,20.401325846870403,20.401325846870403,20.401325846870403,20.401325846870403,20.401325846870403,20.401325846870403,14.826664533912677,14.826664533912677
100,19.93327904218993,19.93327904218993,19.93327904218993,19.93327904218993,19.93327904218993,19.93327904218993,19.93327904218993,19.93327904218993,15.030795398429614,14.210466883835918
101,19.465232237509465,19.465232237509465,19.465232237509465,19.465232237509465,19.465232237509465,19.465232237509465,19.465232237509465,19.186946448660724,14.764005305080936,12.61340500253844
102,18.99089908990899,18.99089908990899,18.99089908990899,18.99089908990899,18.99089908990899,18.99089908990899,18.99089908990899,18.343433864107865,13.881287225481582,11.178999196375276
103,17.80763790664781,17.80763790664781,17.80763790664781,17.80763790664781,17.80763790664781,17.80763790664781,17.80763790664781,17.80763790664781,14.72030576816048,12.209886502572498
104,21.216407355021214,18.098037492468045,18.065889784496104,18.065889784496104,18.065889784496104,18.065889784496104,18.065889784496104,17.291358663640974,13.16466124806504,11.866553499062318
105,19.54031117397454,17.000601246058316,17.000601246058316,17.000601246058316,17.000601246058316,17.000601246058316,17.000601246058316,16.33118364116564,12.67340272167758,10.562543305095788
106,17.57897218293258,15.65062250139891,15.65062250139891,15.65062250139891,15.65062250139891,15.65062250139891,15.65062250139891,15.65062250139891,11.548789469474135,10.661503916725334
